Name,Age,Score,Group
Ramya,23.0,65.54,Sports Club
Divya,20.0,93.61,Entrepreneurship Cell
Terry Black,18.0,60.53,"Sports Club, Robotics, Coding Club"
Robert Thompson,21.0,61.25,Robotics
Hector Ingram,19.0,89.12,"Sports Club, Coding Club, Cultural Club"
Anil,23.0,76.78,"Cultural Club, Sports Club"
Ariel Sandoval,23.0,71.52,"Coding Club, Entrepreneurship Cell, Literary Society"
Angela Brown,23.0,68.03,"Entrepreneurship Cell, Sports Club, Cultural Club"
Randy Griffin,21.0,90.77,Sports Club
Siddharth,19.0,96.23,"Entrepreneurship Cell, Cultural Club"
Arjun,20.0,64.15,"Coding Club, Robotics"
Amit,23.0,65.54,Sports Club
Rahul,22.0,62.36,"Entrepreneurship Cell, Coding Club"
Rakesh,22.0,86.81,"Sports Club, Literary Society"
Michele Gibson,23.0,74.86,"Sports Club, Entrepreneurship Cell"
Angela Mack,20.0,64.62,"Sports Club, Coding Club"
Lisa Perry,23.0,99.1,"Coding Club, Robotics, Sports Club"
Siddharth,23.0,60.04,Literary Society
Diana Hays,21.0,93.1,Robotics
Siddharth,20.0,84.53,"Robotics, Sports Club, Entrepreneurship Cell"
Anita,19.0,60.43,"Robotics, Entrepreneurship Cell"
Arjun,20.0,89.07,"Literary Society, Sports Club, Cultural Club"
Laura Green,20.0,78.56,"Entrepreneurship Cell, Robotics, Literary Society"
Ravi,23.0,94.48,"Literary Society, Robotics, Cultural Club"
Vikram,21.0,64.56,Cultural Club
Rakhi,23.0,67.53,Coding Club
Sonal,20.0,68.95,"Literary Society, Robotics, Coding Club"
Priya,22.0,70.77,Coding Club
Wendy Turner,19.0,61.45,Cultural Club
Arjun,21.0,98.72,Coding Club
Ravi,23.0,90.18,"Coding Club, Literary Society, Sports Club"
Alexander Landry,23.0,78.05,"Entrepreneurship Cell, Cultural Club"
Arjun,23.0,62.07,Sports Club
Kristy Bryan,18.0,92.64,Entrepreneurship Cell
Arjun,20.0,82.41,"Robotics, Entrepreneurship Cell, Literary Society"
Divya,22.0,93.75,Entrepreneurship Cell
Rakesh,23.0,80.41,Entrepreneurship Cell
Nathan Malone,18.0,83.29,"Coding Club, Cultural Club"
Melinda Cameron,19.0,99.85,Robotics
Kavya,21.0,84.85,Coding Club
Charles Schmidt,19.0,82.15,"Sports Club, Robotics"
Elizabeth French,19.0,64.9,"Literary Society, Coding Club, Entrepreneurship Cell"
Anita,21.0,95.25,Cultural Club
Chad Jones,22.0,77.71,"Cultural Club, Coding Club, Literary Society"
Rakesh,18.0,63.02,Literary Society
Divya,19.0,95.93,"Coding Club, Cultural Club"
Eric Blackburn,22.0,63.36,"Coding Club, Robotics"
Joseph Harris,21.0,87.63,Literary Society
Kelsey Lucas,19.0,60.77,"Literary Society, Robotics, Entrepreneurship Cell"
Sean Mccarty,23.0,97.22,"Literary Society, Cultural Club"
Melinda Mitchell,21.0,72.15,"Cultural Club, Literary Society"
Karan,18.0,90.11,"Literary Society, Robotics"
Maria Kerr,18.0,94.11,"Sports Club, Cultural Club, Entrepreneurship Cell"
Joseph Jimenez,22.0,67.75,"Robotics, Literary Society"
Rahul,19.0,69.49,"Sports Club, Literary Society, Cultural Club"
Cynthia Green,22.0,75.25,"Literary Society, Robotics, Sports Club"
Laura Curtis,22.0,90.32,"Cultural Club, Sports Club, Robotics"
Divya,18.0,89.14,Robotics
Sonal,19.0,97.65,"Sports Club, Cultural Club, Coding Club"
Pooja,18.0,95.78,"Robotics, Sports Club, Entrepreneurship Cell"
Ronald Haas,22.0,98.01,"Sports Club, Cultural Club, Entrepreneurship Cell"
Eric Curry,19.0,84.41,"Entrepreneurship Cell, Sports Club, Cultural Club"
Suresh,22.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics"
Michael Ray,22.0,86.48,"Literary Society, Entrepreneurship Cell"
Sergio Knight,18.0,96.55,"Sports Club, Coding Club"
Emily Arnold,18.0,99.06,"Literary Society, Robotics"
Brady Cole,23.0,68.27,"Robotics, Entrepreneurship Cell"
Pooja,18.0,64.75,"Coding Club, Entrepreneurship Cell"
Kavya,18.0,71.87,Literary Society
Joseph Howard,18.0,90.11,"Literary Society, Robotics"
Brent Roberts,23.0,66.73,"Entrepreneurship Cell, Coding Club"
Divya,18.0,78.54,"Coding Club, Cultural Club"
Keith Jacobs,18.0,89.37,"Coding Club, Cultural Club"
Sonal,19.0,61.59,"Literary Society, Sports Club"
Kavya,19.0,70.44,"Cultural Club, Entrepreneurship Cell"
Sherry Decker,20.0,87.87,"Robotics, Literary Society, Cultural Club"
Vikram,19.0,64.9,"Literary Society, Coding Club, Entrepreneurship Cell"
Miss Tina Gordon,18.0,77.59,"Literary Society, Coding Club"
Ramya,21.0,74.06,"Coding Club, Literary Society, Sports Club"
Elizabeth Vasquez,22.0,74.63,"Sports Club, Literary Society"
Ian Nelson,21.0,72.12,Robotics
Heather Combs,20.0,62.09,"Coding Club, Entrepreneurship Cell"
Lisa Garrett,23.0,70.79,"Cultural Club, Sports Club"
Alyssa Thompson,19.0,66.87,Entrepreneurship Cell
Timothy Hill,18.0,79.32,"Literary Society, Cultural Club, Entrepreneurship Cell"
Antonio Goodwin,23.0,79.86,"Cultural Club, Entrepreneurship Cell"
Rahul,21.0,67.73,Entrepreneurship Cell
Ravi,18.0,95.78,"Robotics, Sports Club, Entrepreneurship Cell"
Divya,21.0,97.57,"Literary Society, Sports Club, Coding Club"
Dr. Steve James,18.0,65.48,"Entrepreneurship Cell, Sports Club, Literary Society"
Rhonda Smith,19.0,98.45,"Literary Society, Cultural Club"
Meena,21.0,99.81,"Coding Club, Entrepreneurship Cell, Literary Society"
Pooja,19.0,99.17,Cultural Club
William Sanchez,20.0,77.16,"Cultural Club, Coding Club, Robotics"
Dr. Michael Evans,18.0,76.21,Cultural Club
Ryan Munoz,18.0,88.53,"Entrepreneurship Cell, Cultural Club"
Maria Johnson,19.0,72.04,Entrepreneurship Cell
Ravi,19.0,73.34,Cultural Club
Jacqueline Villegas,22.0,96.97,"Literary Society, Entrepreneurship Cell, Cultural Club"
Matthew Tucker,23.0,80.0,Robotics
Dr. Tracy House DVM,19.0,87.91,"Sports Club, Entrepreneurship Cell, Literary Society"
Paige Sanchez,20.0,60.26,"Robotics, Cultural Club"
Kathleen Webster,18.0,87.1,"Cultural Club, Coding Club, Sports Club"
Christine Henry,21.0,70.83,"Cultural Club, Literary Society"
Karan,18.0,68.51,"Literary Society, Entrepreneurship Cell, Cultural Club"
Ravi,21.0,84.97,Coding Club
Karan,19.0,82.6,"Entrepreneurship Cell, Coding Club, Cultural Club"
Karen Soto,19.0,94.04,Coding Club
Ravi,22.0,72.22,Literary Society
Rakesh,20.0,68.19,"Robotics, Coding Club, Cultural Club"
Karan,20.0,72.56,Sports Club
Rodney Evans,20.0,85.35,"Sports Club, Entrepreneurship Cell, Coding Club"
Karan,21.0,77.21,Sports Club
Frank Fletcher,22.0,60.26,"Literary Society, Robotics"
Mason Moore,22.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics"
Arjun,18.0,93.73,Sports Club
Karl Branch,23.0,70.97,"Robotics, Literary Society, Cultural Club"
Fernando Lynn,22.0,99.12,"Coding Club, Cultural Club"
Divya,21.0,88.92,"Coding Club, Sports Club"
Annette Melton,18.0,85.5,Robotics
Sonal,23.0,83.93,Entrepreneurship Cell
Pooja,19.0,90.23,"Literary Society, Entrepreneurship Cell, Robotics"
Anthony Moore,23.0,75.64,"Entrepreneurship Cell, Robotics"
Priya,19.0,96.39,"Cultural Club, Sports Club, Robotics"
Arjun,21.0,60.09,"Coding Club, Sports Club, Cultural Club"
Karan,23.0,68.03,"Entrepreneurship Cell, Sports Club, Cultural Club"
Robert Stevens,23.0,82.66,Sports Club
Kerry Smith,19.0,92.45,"Cultural Club, Robotics, Entrepreneurship Cell"
Catherine Richards,22.0,91.45,"Entrepreneurship Cell, Cultural Club"
Jennifer Morris,18.0,65.82,"Robotics, Sports Club"
Kelli Hall,20.0,73.42,Literary Society
Rakhi,22.0,75.59,"Literary Society, Robotics, Coding Club"
Christopher Rubio,23.0,83.93,Entrepreneurship Cell
Anita,19.0,65.6,"Coding Club, Cultural Club"
Ramya,21.0,93.33,"Literary Society, Sports Club"
Ravi,22.0,60.33,Robotics
Karan,23.0,60.04,Literary Society
Priya,23.0,94.48,"Literary Society, Robotics, Cultural Club"
Neha,23.0,63.23,"Entrepreneurship Cell, Coding Club, Literary Society"
Casey Gillespie,21.0,65.21,"Robotics, Entrepreneurship Cell"
Siddharth,22.0,64.46,Coding Club
Rakhi,20.0,93.69,Coding Club
Rahul,23.0,98.47,Literary Society
Kavya,23.0,76.78,"Cultural Club, Sports Club"
Kavya,20.0,79.27,"Coding Club, Robotics, Entrepreneurship Cell"
Priya,21.0,76.28,"Robotics, Entrepreneurship Cell"
Rakhi,22.0,63.36,"Coding Club, Robotics"
Caroline Richardson,22.0,84.05,Coding Club
Ashley Bird,23.0,69.42,"Coding Club, Entrepreneurship Cell, Literary Society"
Elizabeth Kelley,18.0,95.78,"Robotics, Sports Club, Entrepreneurship Cell"
Pamela Anderson,22.0,64.0,"Robotics, Cultural Club"
Arjun,20.0,72.86,"Cultural Club, Robotics, Coding Club"
Andrea Hale,20.0,86.03,"Literary Society, Entrepreneurship Cell"
Anita,19.0,82.48,"Coding Club, Robotics, Literary Society"
Mark Baker,22.0,96.83,"Cultural Club, Sports Club, Entrepreneurship Cell"
Mary Bridges,19.0,64.08,Entrepreneurship Cell
Justin Green,19.0,69.07,"Sports Club, Literary Society, Coding Club"
Paul Martin,22.0,94.42,Sports Club
Daniel Holloway,21.0,73.54,Coding Club
Shannon Ray,20.0,64.88,Robotics
Nancy Wyatt,21.0,64.68,"Entrepreneurship Cell, Sports Club"
Priya,22.0,74.2,"Entrepreneurship Cell, Coding Club"
Gary Wells,22.0,83.69,Entrepreneurship Cell
Kelly Donovan,21.0,62.07,"Cultural Club, Coding Club"
Siddharth,22.0,65.77,"Literary Society, Entrepreneurship Cell, Cultural Club"
Nicole Wilson,20.0,71.81,"Coding Club, Entrepreneurship Cell, Robotics"
Lisa Lee,20.0,64.33,"Literary Society, Sports Club, Coding Club"
Anil,18.0,90.57,"Entrepreneurship Cell, Robotics, Coding Club"
Eric Morgan,21.0,68.69,"Cultural Club, Coding Club"
Cindy Hayes,18.0,76.73,"Cultural Club, Sports Club"
Ravi,19.0,72.04,Entrepreneurship Cell
Sonal,21.0,88.92,"Coding Club, Sports Club"
Stephanie Hampton,19.0,72.26,"Entrepreneurship Cell, Cultural Club, Robotics"
Amit,22.0,85.72,Cultural Club
Pooja,23.0,80.0,Robotics
Amit,20.0,75.89,Entrepreneurship Cell
Diamond Collins,18.0,65.37,"Literary Society, Sports Club, Robotics"
Paul Thompson,23.0,77.34,"Coding Club, Robotics"
Michael Armstrong,19.0,65.28,"Robotics, Literary Society, Cultural Club"
Amit,19.0,98.45,"Literary Society, Cultural Club"
Kenneth Sharp,18.0,60.05,"Cultural Club, Literary Society"
Kavya,23.0,88.84,"Robotics, Literary Society"
Anna Stephens,23.0,69.32,"Literary Society, Coding Club"
Meena,22.0,61.42,Sports Club
Pooja,19.0,89.69,"Entrepreneurship Cell, Sports Club"
Anita,19.0,64.05,"Entrepreneurship Cell, Robotics"
Steven Flynn,20.0,64.16,"Entrepreneurship Cell, Coding Club, Robotics"
Divya,19.0,72.05,"Sports Club, Coding Club"
Michelle Brown,18.0,85.15,"Cultural Club, Robotics, Sports Club"
Dawn Nichols,19.0,86.53,"Cultural Club, Robotics"
Jason Beck,22.0,96.43,Cultural Club
Ravi,19.0,88.33,Robotics
Sherry Woods,18.0,90.07,"Entrepreneurship Cell, Literary Society"
Karan,20.0,69.78,"Cultural Club, Literary Society"
Pooja,22.0,78.76,"Coding Club, Sports Club, Robotics"
Christopher Morton,19.0,93.99,"Coding Club, Robotics"
Kavya,21.0,89.49,Sports Club
Dr. Hannah Patterson,22.0,63.18,"Entrepreneurship Cell, Cultural Club, Coding Club"
Kristi Higgins MD,21.0,61.47,"Robotics, Cultural Club"
Darren White,23.0,63.39,Entrepreneurship Cell
Adrian Tyler,19.0,62.45,"Robotics, Sports Club, Coding Club"
Victoria Valdez,23.0,81.46,"Sports Club, Entrepreneurship Cell, Literary Society"
Cynthia Vasquez,19.0,60.58,Literary Society
Diana May,18.0,63.66,"Entrepreneurship Cell, Coding Club"
Vikram,22.0,79.22,"Cultural Club, Entrepreneurship Cell"
Ravi,20.0,79.27,"Coding Club, Robotics, Entrepreneurship Cell"
Morgan Davis,19.0,73.61,"Sports Club, Literary Society, Robotics"
Lori Guerrero,21.0,83.51,"Robotics, Literary Society, Cultural Club"
Amy Grant,20.0,68.32,"Entrepreneurship Cell, Sports Club"
Anne Anderson,18.0,82.63,"Literary Society, Robotics, Sports Club"
Jeremy Dalton,22.0,74.22,"Cultural Club, Entrepreneurship Cell"
Jose Schultz,21.0,92.75,Robotics
Rakesh,22.0,77.85,"Entrepreneurship Cell, Robotics"
Anita,22.0,89.77,"Cultural Club, Entrepreneurship Cell, Literary Society"
Kevin Snyder,21.0,95.24,"Coding Club, Entrepreneurship Cell, Sports Club"
Neha,22.0,63.39,"Sports Club, Cultural Club, Robotics"
Christopher Powers,22.0,90.22,"Cultural Club, Literary Society"
John Costa,18.0,79.44,Cultural Club
Joanna Pacheco,20.0,79.14,Coding Club
David Weber,22.0,80.73,"Robotics, Coding Club, Sports Club"
Arjun,21.0,91.71,Literary Society
Wayne Wolfe,21.0,75.63,"Sports Club, Coding Club, Robotics"
Divya,18.0,66.15,"Robotics, Sports Club, Literary Society"
Allen Rogers,23.0,70.79,"Literary Society, Cultural Club, Sports Club"
Vikram,20.0,89.07,"Literary Society, Sports Club, Cultural Club"
Janice Fernandez,22.0,61.4,"Coding Club, Literary Society"
Meena,22.0,74.76,"Robotics, Sports Club"
Alec Ryan,18.0,71.87,Literary Society
Amy Kim,22.0,95.42,Cultural Club
Erin Edwards,22.0,69.23,"Cultural Club, Coding Club, Entrepreneurship Cell"
Arjun,20.0,95.54,Cultural Club
Rakesh,20.0,60.72,"Sports Club, Robotics, Literary Society"
Jennifer Parrish,22.0,81.7,"Cultural Club, Entrepreneurship Cell, Sports Club"
Anita,18.0,96.22,"Sports Club, Literary Society"
Vikram,20.0,60.28,Robotics
Rahul,18.0,60.05,"Cultural Club, Literary Society"
Jessica Larsen,18.0,79.01,Cultural Club
Mr. Timothy Andersen,23.0,65.63,Entrepreneurship Cell
Kendra Luna,18.0,87.67,"Cultural Club, Coding Club"
Michelle Butler,20.0,95.57,"Cultural Club, Robotics, Sports Club"
Rakesh,19.0,65.57,"Sports Club, Cultural Club, Coding Club"
James Rose,23.0,74.5,"Cultural Club, Coding Club, Literary Society"
Kavya,20.0,79.84,Entrepreneurship Cell
Gina Beard,19.0,95.93,"Coding Club, Cultural Club"
Pooja,18.0,61.61,Coding Club
Jon Clark,23.0,70.09,Robotics
Chris Brown,19.0,76.74,"Coding Club, Literary Society"
Arjun,21.0,74.06,"Coding Club, Literary Society, Sports Club"
Suresh,22.0,78.97,Coding Club
Shannon Cannon,21.0,76.52,"Robotics, Literary Society"
Cindy Anderson,18.0,74.41,"Sports Club, Cultural Club, Literary Society"
Karan,18.0,98.74,Robotics
Vikram,18.0,80.8,"Cultural Club, Coding Club, Robotics"
Erin Cook,19.0,82.6,"Entrepreneurship Cell, Coding Club, Cultural Club"
Paul Skinner,22.0,66.39,Literary Society
Anita,20.0,73.64,"Coding Club, Entrepreneurship Cell, Literary Society"
Rahul,19.0,93.24,"Sports Club, Entrepreneurship Cell"
Daniel Doyle,21.0,71.65,"Cultural Club, Robotics, Literary Society"
Vikram,21.0,79.78,"Robotics, Sports Club"
Karan,21.0,87.92,"Sports Club, Literary Society, Entrepreneurship Cell"
Amit,19.0,91.7,"Coding Club, Literary Society, Entrepreneurship Cell"
Vikram,18.0,69.61,"Cultural Club, Entrepreneurship Cell"
John Atkinson,23.0,99.88,"Entrepreneurship Cell, Sports Club"
Siddharth,20.0,72.17,"Entrepreneurship Cell, Sports Club"
David Hinton,20.0,83.81,"Coding Club, Sports Club"
Ramya,23.0,81.2,"Cultural Club, Coding Club"
Arjun,22.0,90.32,"Cultural Club, Sports Club, Robotics"
Mary Charles,19.0,89.77,"Cultural Club, Robotics"
Suresh,20.0,95.58,"Sports Club, Coding Club"
Rakhi,18.0,63.66,"Entrepreneurship Cell, Coding Club"
Pooja,22.0,68.6,"Coding Club, Entrepreneurship Cell"
Vikram,18.0,70.7,"Sports Club, Cultural Club, Coding Club"
Derrick Nunez,22.0,78.22,"Cultural Club, Entrepreneurship Cell, Sports Club"
Kavya,21.0,65.55,"Entrepreneurship Cell, Sports Club"
Ramya,19.0,84.79,Literary Society
Vikram,20.0,75.09,Coding Club
Alex Hernandez,23.0,80.85,Cultural Club
Vanessa Santiago,21.0,80.7,Entrepreneurship Cell
Anil,21.0,64.68,"Entrepreneurship Cell, Sports Club"
Christine Harris,19.0,76.92,Sports Club
Marc Moore,22.0,77.45,Robotics
Mercedes Miller,23.0,99.52,"Robotics, Entrepreneurship Cell, Cultural Club"
Pooja,23.0,89.44,"Cultural Club, Literary Society"
Christopher Park,22.0,77.85,"Entrepreneurship Cell, Robotics"
Gregory Cook,22.0,62.61,"Entrepreneurship Cell, Robotics, Cultural Club"
Meena,18.0,93.96,Sports Club
Michele Collins,19.0,92.82,"Robotics, Literary Society"
Ravi,19.0,92.89,Sports Club
Priya,18.0,84.86,"Cultural Club, Literary Society, Robotics"
Karan,22.0,78.8,Coding Club
Anil,21.0,60.16,Literary Society
Suresh,19.0,84.92,"Sports Club, Coding Club, Entrepreneurship Cell"
Meena,20.0,72.73,"Coding Club, Sports Club"
Mark Diaz,18.0,85.37,Sports Club
Brandy Flores,23.0,91.85,Literary Society
Monica Anderson,18.0,79.47,"Sports Club, Cultural Club"
Brenda Bailey,20.0,99.98,"Robotics, Entrepreneurship Cell"
Richard Alvarez,21.0,88.92,"Coding Club, Sports Club"
Edwin Nunez,19.0,89.69,"Entrepreneurship Cell, Sports Club"
Ralph Howe,23.0,62.61,"Cultural Club, Literary Society, Sports Club"
Jonathan Ayala,20.0,93.61,Entrepreneurship Cell
Anita,22.0,92.82,"Entrepreneurship Cell, Cultural Club, Sports Club"
Divya,22.0,71.11,Cultural Club
Tracie Jordan,20.0,71.33,"Robotics, Sports Club"
Anil,18.0,70.19,Robotics
Anita,19.0,92.82,"Robotics, Literary Society"
Rakhi,23.0,71.6,Entrepreneurship Cell
Andrew Duran,23.0,99.09,Coding Club
Caleb Mathews,20.0,84.96,Literary Society
Cheryl Palmer,18.0,90.57,"Entrepreneurship Cell, Robotics, Coding Club"
Karan,18.0,81.33,"Sports Club, Coding Club"
Scott White,21.0,60.05,"Literary Society, Robotics, Sports Club"
Richard Stewart,19.0,76.73,"Coding Club, Cultural Club, Robotics"
Douglas Kirk,20.0,74.3,Literary Society
Arjun,23.0,91.85,Literary Society
Jordan Clark,21.0,77.36,"Cultural Club, Entrepreneurship Cell, Robotics"
Meena,22.0,62.14,Sports Club
Arjun,20.0,78.01,Robotics
Vikram,22.0,64.94,"Cultural Club, Coding Club"
Siddharth,22.0,87.41,"Literary Society, Entrepreneurship Cell"
Bryan Parker,22.0,80.39,Entrepreneurship Cell
Martha Smith,19.0,64.24,"Sports Club, Literary Society"
Anil,19.0,68.2,"Robotics, Coding Club, Entrepreneurship Cell"
Amy Gutierrez,23.0,86.15,"Robotics, Coding Club, Literary Society"
Louis Brown,18.0,64.11,"Robotics, Coding Club, Cultural Club"
Kenneth Martin,19.0,91.28,Robotics
Michael Griffin,22.0,94.12,Coding Club
Siddharth,18.0,94.11,"Sports Club, Cultural Club, Entrepreneurship Cell"
Kevin Marquez,23.0,76.52,Literary Society
Karan,23.0,70.52,Cultural Club
Divya,19.0,92.43,"Coding Club, Sports Club"
Divya,21.0,71.43,"Robotics, Entrepreneurship Cell"
Ramya,23.0,68.03,"Entrepreneurship Cell, Sports Club, Cultural Club"
Pooja,23.0,91.85,Literary Society
Neha,18.0,60.72,"Sports Club, Coding Club, Robotics"
Sonal,23.0,76.12,"Literary Society, Sports Club, Cultural Club"
Suresh,19.0,60.58,Literary Society
Suresh,23.0,81.46,"Sports Club, Entrepreneurship Cell, Literary Society"
David Holden,19.0,84.13,Cultural Club
John Santana,21.0,89.74,"Entrepreneurship Cell, Coding Club, Sports Club"
Anil,18.0,90.15,Entrepreneurship Cell
Brandon Mitchell,22.0,68.6,"Coding Club, Entrepreneurship Cell"
Ramya,19.0,65.17,"Robotics, Literary Society, Sports Club"
Brian Rodriguez,21.0,68.42,"Literary Society, Sports Club, Coding Club"
Karan,23.0,82.25,"Robotics, Literary Society"
Mandy Green,18.0,68.51,"Literary Society, Entrepreneurship Cell, Cultural Club"
Lisa Singh,21.0,64.99,Cultural Club
Siddharth,22.0,68.6,"Coding Club, Entrepreneurship Cell"
Daniel Medina,18.0,86.08,"Entrepreneurship Cell, Robotics, Literary Society"
Vikram,22.0,94.12,Coding Club
Michael Nicholson,22.0,71.7,Entrepreneurship Cell
Sonal,21.0,63.35,"Coding Club, Cultural Club, Entrepreneurship Cell"
Steven Martin,20.0,67.03,"Coding Club, Robotics"
Ramya,18.0,71.47,"Robotics, Cultural Club"
Kelly Edwards,18.0,92.22,"Entrepreneurship Cell, Cultural Club, Sports Club"
Sergio Knox,21.0,78.56,"Sports Club, Literary Society"
Kavya,19.0,97.96,Coding Club
Martin Rodriguez,19.0,71.71,Sports Club
Pamela Weaver,21.0,77.21,Sports Club
Vikram,21.0,73.41,"Literary Society, Robotics, Sports Club"
Angela Anderson,21.0,95.25,Cultural Club
Priya,18.0,69.01,"Cultural Club, Sports Club"
Neha,23.0,76.78,"Cultural Club, Sports Club"
Sonal,22.0,98.08,"Entrepreneurship Cell, Literary Society, Robotics"
Edwin Brown,20.0,88.78,"Cultural Club, Robotics"
Bob Pitts,19.0,93.23,"Literary Society, Sports Club, Robotics"
Kavya,19.0,98.45,"Literary Society, Cultural Club"
Jessica Callahan,19.0,97.06,Coding Club
Marcus Roberts,21.0,65.02,"Entrepreneurship Cell, Cultural Club, Robotics"
Lori Hill,19.0,66.56,Coding Club
Anil,19.0,99.38,"Sports Club, Coding Club"
Ravi,19.0,60.77,"Literary Society, Robotics, Entrepreneurship Cell"
Sandra Martinez,23.0,94.9,Robotics
Amit,19.0,60.43,"Robotics, Entrepreneurship Cell"
Divya,22.0,84.05,Coding Club
Siddharth,18.0,81.05,"Entrepreneurship Cell, Coding Club"
Kavya,23.0,84.81,"Robotics, Coding Club"
Ramya,21.0,62.32,"Entrepreneurship Cell, Sports Club"
Suresh,18.0,71.32,Robotics
Gail Lane,19.0,60.43,"Robotics, Entrepreneurship Cell"
Elizabeth Rogers,19.0,79.11,"Sports Club, Literary Society"
Rakhi,20.0,67.41,"Entrepreneurship Cell, Cultural Club, Robotics"
Shane Henderson,21.0,79.78,"Robotics, Sports Club"
Neha,22.0,99.03,"Literary Society, Cultural Club, Entrepreneurship Cell"
Kavya,20.0,66.62,Cultural Club
Suresh,20.0,76.59,Entrepreneurship Cell
Steven Sandoval,20.0,85.88,"Coding Club, Robotics, Cultural Club"
Brett Schultz,20.0,65.62,Sports Club
Pooja,18.0,84.69,"Sports Club, Literary Society, Coding Club"
Kavya,23.0,97.72,"Literary Society, Cultural Club, Sports Club"
Rakesh,22.0,75.25,"Literary Society, Robotics, Sports Club"
Anil,22.0,71.29,"Sports Club, Literary Society, Entrepreneurship Cell"
Kristie Howe,19.0,85.38,"Sports Club, Entrepreneurship Cell, Cultural Club"
Miss Anna Estes,18.0,84.86,"Cultural Club, Literary Society, Robotics"
Timothy Shannon,18.0,84.51,"Robotics, Coding Club, Literary Society"
Rahul,18.0,66.65,"Sports Club, Entrepreneurship Cell"
Ravi,18.0,81.6,"Sports Club, Entrepreneurship Cell"
Keith Zuniga,18.0,86.52,"Literary Society, Cultural Club"
Robert Gardner,19.0,70.26,"Cultural Club, Entrepreneurship Cell"
Madeline Powell,18.0,93.74,"Cultural Club, Robotics, Coding Club"
Albert Morse,20.0,87.1,"Cultural Club, Entrepreneurship Cell, Literary Society"
Jonathan Perry,20.0,95.58,"Sports Club, Coding Club"
Karan,18.0,75.19,Entrepreneurship Cell
Neha,21.0,75.04,"Robotics, Sports Club, Literary Society"
Ravi,19.0,73.61,"Sports Club, Literary Society, Robotics"
Rakesh,22.0,96.97,"Literary Society, Entrepreneurship Cell, Cultural Club"
Rakesh,20.0,60.62,Sports Club
Ravi,18.0,93.96,Sports Club
John Blair,18.0,81.6,"Sports Club, Entrepreneurship Cell"
Arjun,23.0,61.73,"Coding Club, Cultural Club, Robotics"
Rakesh,18.0,82.97,"Literary Society, Coding Club, Robotics"
Miguel Jones,19.0,65.99,"Entrepreneurship Cell, Literary Society, Sports Club"
Anil,22.0,86.48,"Literary Society, Entrepreneurship Cell"
Kari Durham,21.0,67.64,"Sports Club, Cultural Club"
Priya,23.0,84.17,"Coding Club, Entrepreneurship Cell"
Vikram,23.0,61.39,Cultural Club
Edward Baker,22.0,68.71,Cultural Club
Wesley Browning,20.0,61.79,Literary Society
Rahul,19.0,62.57,Cultural Club
Pooja,19.0,79.11,"Sports Club, Literary Society, Coding Club"
Anil,21.0,95.19,Entrepreneurship Cell
Karan,23.0,89.45,"Robotics, Entrepreneurship Cell"
Lori Brown DDS,21.0,69.79,"Literary Society, Coding Club, Robotics"
Neha,18.0,61.13,"Coding Club, Cultural Club, Sports Club"
Scott Cox,18.0,61.13,"Coding Club, Cultural Club, Sports Club"
Kerry Barajas,20.0,83.26,"Literary Society, Coding Club"
Kelly Johnson,18.0,66.65,"Sports Club, Entrepreneurship Cell"
Michael Fuentes,22.0,81.13,Cultural Club
Cynthia Wallace,19.0,86.28,Coding Club
Eric Ortiz,19.0,80.61,"Literary Society, Sports Club, Entrepreneurship Cell"
Rakhi,22.0,61.42,Sports Club
Carolyn James,21.0,63.07,Robotics
Robert Dennis,22.0,82.02,Literary Society
Ryan Gonzalez,20.0,64.37,"Literary Society, Cultural Club, Coding Club"
Vikram,19.0,94.96,Cultural Club
Rakhi,23.0,67.38,"Cultural Club, Entrepreneurship Cell, Literary Society"
Pooja,18.0,89.14,Robotics
Arjun,18.0,78.54,"Coding Club, Cultural Club"
Nicholas Payne,21.0,74.41,"Sports Club, Literary Society, Robotics"
David Garcia,20.0,85.33,"Sports Club, Entrepreneurship Cell"
Priya,22.0,72.29,"Entrepreneurship Cell, Coding Club, Literary Society"
Eric Lloyd,22.0,68.08,"Literary Society, Entrepreneurship Cell, Coding Club"
Amit,22.0,78.22,"Cultural Club, Entrepreneurship Cell, Sports Club"
Pooja,22.0,71.29,"Robotics, Coding Club"
Brian Stein,19.0,88.38,Entrepreneurship Cell
Mrs. Jennifer Morgan,19.0,64.54,Cultural Club
Kavya,23.0,78.09,Cultural Club
Gail Barron,23.0,76.29,"Sports Club, Literary Society, Entrepreneurship Cell"
Rakesh,18.0,61.91,"Coding Club, Robotics, Sports Club"
Siddharth,23.0,81.53,"Literary Society, Coding Club"
Dale Dean,18.0,61.61,Coding Club
Divya,19.0,98.01,"Sports Club, Coding Club"
Jaime Lang,18.0,87.94,Entrepreneurship Cell
Kristina Herman,22.0,85.67,"Entrepreneurship Cell, Literary Society"
Lindsey Smith,20.0,82.96,Coding Club
Karen Morales DDS,22.0,63.39,"Sports Club, Cultural Club, Robotics"
Brandon Hunt,19.0,77.98,"Robotics, Sports Club, Literary Society"
Elizabeth Silva,21.0,93.33,"Literary Society, Sports Club"
Divya,21.0,68.42,"Literary Society, Sports Club, Coding Club"
Anil,21.0,67.64,"Sports Club, Cultural Club"
